이쑤시개,1,오염물질을 죽을 때 까지 찌르면 정화 되지 않을까?,HP 0,ATK 1,DEF 0
살균 장갑,5,오염물질이 녹아 사라진다,HP 0,ATK 5,DEF 0
오염된 대걸레,10,깨끗이 청소함,HP 0,ATK 10,DEF 0
연구원 푸거스의 망치,20,망치의 손잡이가 미끄러질 것 같다,HP 0,ATK 20,DEF 0
정글도,25,누군가 기념품으로 간직했던 것,HP 0,ATK 15,DEF 0
연구소 직원의 권총,30,오염물질은 권총으로도 잘 청소 된다,HP 0,ATK 20,DEF 0
산화제 분사기,30,강한 산화제로 오염물질을 분해 시킨다. 주변까지 손상될 수 있다,HP 0,ATK 25,DEF -5
비상 대피용 소방 도끼,35,비상용이지만 날카롭다,HP 0,ATK 25,DEF 0
조직 파괴 장치,50,DNA조직을 파괴 시켜 정화한다,HP 0,ATK 30,DEF 0
배낭형 플라즈마 소각기 BFF9000,100,오염물질이 잘 탄다. 대신 발열이 심하다,HP 0,ATK 50,DEF -30
연구원의 실험 가운,5,연구원의 실험 가운이다. 입으면 똑똑해질 것 같다,HP 5,ATK 0,DEF 0
단단한 부츠,10,단단해 보이는 부츠다,HP 10,ATK 0,DEF 0
가스 마스크,12,마시지 마세요. 필터에 양보하세요,HP 15,ATK 0,DEF 0
안전모,15,안전모 행복을 지키는 요소입니다,HP 5,ATK 0,DEF 5
깨끗한 방진복,20,오염을 방지한다,HP 10,ATK 0,DEF 5
군용 마스크,35,가스!가스!가스!,HP 15,ATK 0,DEF 10
일체형 체스트 리그,40,편리하고 안전하다,HP 15,ATK 0,DEF 10
방탄 헬멧,45,머리를 안전하게 보호해준다,HP 10,ATK 0,DEF 15
무장 경비원의 방탄 조끼,50,오염물질의 공격으로부터 안전할 것 같다,HP 0,ATK 0,DEF 20
 G.U.A.R.D.I.A.N Suit,100,"인공지능 가디언의 스켈레톤 슈트, 단단하지만 무겁다",HP 20,ATK -40,DEF 20
